date,vo2max,vo2max_m,w,age_on_date,hr_est,le_est,le_est_m,le_diff
2021-05-30,61,63.86,50,24.4898401826484,0.438804486115497,86.7694247653566,86.8231671113366,-0.0335181188167724
2021-05-31,61,63.76,50,24.4925799086758,0.440059565643521,86.7358048315913,86.7989091173778,-0.0336199337652801
2021-06-01,63,63.7,50,24.4953196347032,0.440826051277844,86.7153588532354,86.7719782277627,-0.0204459783559656
2021-06-02,63,63.64,50,24.4980593607306,0.44159541141439,86.6948783460092,86.7436819360732,-0.0204805072261678
2021-06-03,63,63.58,50,24.500799086758,0.442362733687573,86.6744893080649,86.7179912208515,-0.0203890379442697
2021-06-04,63,63.52,50,24.5035388127854,0.443120763388007,86.6543846019075,86.6949831881617,-0.0201047061574116
2021-06-05,63,63.46,50,24.5062785388128,0.443881357176939,86.6342474390463,86.6746717096527,-0.0201371628612748
2021-06-06,60,63.34,50,24.5090182648402,0.445402213847116,86.5939792072635,86.6503957804583,-0.0402682317827043
2021-06-07,62,63.3,50,24.5117579908676,0.445916854773908,86.580457944271,86.6275117001107,-0.0135212629925263
2021-06-08,62,63.28,50,24.514497716895,0.446178653807177,86.573640075842,86.6073418536661,-0.00681786842902454
2021-06-09,63,63.28,50,24.5172374429224,0.446186738024751,86.5735364610999,86.5911722255046,-0.000103614742087643
2021-06-10,64,63.3,50,24.5199771689498,0.445941099169081,86.5801468086923,86.5803520994338,0.00661034759241375
2021-06-11,63,63.3,50,24.5227168949772,0.445949181219998,86.5800431083373,86.5775648796485,-0.000103700354998182
2021-06-12,63,63.3,50,24.5254566210046,0.445957263563873,86.5799394137386,86.577461173542,-0.000103694598720949
2021-06-13,64,63.32,50,24.528196347032,0.445711902969302,86.5865456725782,86.5800422928893,0.0066062588395539
2021-06-14,60,63.26,50,24.5309360730594,0.446481186770252,86.5663011842792,86.5785952375251,-0.0202444882989425
2021-06-15,60,63.18,50,24.5336757990868,0.447508278328352,86.5392916283869,86.570424201464,-0.0270095558923771
2021-06-16,62,63.14,50,24.5364155251142,0.448027631521026,86.5257132570856,86.5595582312137,-0.0135783713012501
2021-06-17,62,63.12,50,24.5391552511416,0.448291805015374,86.5188672017874,86.5473437888234,-0.00684605529824012
2021-06-18,58,63.02,50,24.541894977169,0.449584669045015,86.4850033925275,86.5270353328133,-0.0338638092598416
2021-06-19,61,62.96,50,24.5446347031963,0.450367194159414,86.464592891927,86.5066936743429,-0.0204105006004909
2021-06-20,61,62.9,50,24.5473744292237,0.451152408529311,86.4441488613617,86.4876651209378,-0.0204440305653435
2021-06-21,63,62.88,50,24.5501141552511,0.451420175365393,86.4372589886219,86.4699742672451,-0.00688987273977659
2021-06-22,63,62.86,50,24.5528538812785,0.45168824702613,86.4303655111662,86.4522739291209,-0.00689347745570501
2021-06-23,64,62.84,50,24.5555936073059,0.451956624031358,86.4234684248365,86.4399669355827,-0.00689708632972952
2021-06-24,65,62.84,50,24.5583333333333,0.451964773468565,86.4233670555066,86.4317217682986,-0.000101369329840395
2021-06-25,63,62.8,50,24.5610730593607,0.452494296160549,86.4096475366594,86.4248215033581,-0.0137195188472106
2021-06-26,64,62.8,50,24.5638127853881,0.452502451739119,86.4095463797227,86.4192789815783,-0.000101156936679558
2021-06-27,64,62.78,50,24.5665525114155,0.452771750980951,86.4026386956148,86.413733618468,-0.00690768410792941
2021-06-28,64,62.76,50,24.5692922374429,0.453041357659534,86.3957273841024,86.4081854103212,-0.00691131151236846
2021-06-29,64,62.74,50,24.5720319634703,0.453311272300649,86.3888124409886,86.4012744874176,-0.0069149431137987
2021-06-30,64,62.72,50,24.5747716894977,0.453581495431275,86.3818938620684,86.3957237524994,-0.0069185789202777
2021-07-01,60,62.68,50,24.5775114155251,0.454114695246984,86.3681462989917,86.3874437363532,-0.0137475630766772
2021-07-02,60,62.66,50,24.5802511415525,0.454385843941488,86.3612166805012,86.3791593333305,-0.00692961849044593
2021-07-03,60,62.62,50,24.5829908675799,0.454920890716398,86.3474294462942,86.3694997457688,-0.0137872342070295
2021-07-04,60,62.56,50,24.5857305936073,0.455721681441618,86.3266199767673,86.3570612529246,-0.0208094695269523
2021-07-05,52,62.34,50,24.5884703196347,0.45865991348128,86.250935081847,86.3308694968803,-0.075684894920272
2021-07-06,52,62.12,50,24.5912100456621,0.4616361276448,86.1747809138464,86.2921964198512,-0.0761541680005706
2021-07-07,52,61.9,50,24.5939497716895,0.464651065196257,86.0981463292563,86.2395823496022,-0.0766345845901526
2021-07-08,54,61.72,50,24.5966894977169,0.467148676696786,86.0350660926979,86.177109678883,-0.0630802365583492
2021-07-09,56,61.58,50,24.5994292237443,0.469111667276369,85.9857552368091,86.1089367308913,-0.0493108558888338
2021-07-10,56,61.44,50,24.6021689497717,0.471091124105909,85.9363511679803,86.046019948118,-0.0494040688288067
2021-07-11,56,61.28,50,24.6049086757991,0.473372594007117,85.8794582908097,85.9869554235107,-0.056892877170597
2021-07-12,56,61.12,50,24.6076484018265,0.475676152303266,85.8223714089192,85.9318004394432,-0.0570868818904557
2021-07-13,57,60.96,50,24.6103881278539,0.47800212132394,85.7649992912485,85.8777870791533,-0.0573721176707522
2021-07-14,57,60.78,50,24.6131278538813,0.480644977949628,85.7001579211678,85.8206676160251,-0.0648413700806856
2021-07-15,60,60.7,50,24.6158675799087,0.481833640096205,85.6711768456706,85.7676327515631,-0.0289810754972137
2021-07-16,60,60.64,50,24.6186073059361,0.482731079228222,85.6493743028878,85.7216159539788,-0.0218025427827371
2021-07-17,61,60.6,50,24.6213470319635,0.483334030607146,85.6347880922794,85.6840992906508,-0.0145862106084707
2021-07-18,61,60.6,50,24.6240867579909,0.483342503644578,85.6346990238339,85.6580392371679,-8.90684454333268e-05
2021-07-19,62,60.62,50,24.6268264840183,0.483053546140526,85.6418603791242,85.6463797287592,0.00716135529026474
2021-07-20,63,60.66,50,24.6295662100457,0.482468246286175,85.6562586764063,85.6433960949063,0.0143982972821277
2021-07-21,62,60.64,50,24.6323059360731,0.482773417209755,85.6489278565516,85.6433068056391,-0.0073308198547295
2021-07-22,62,60.62,50,24.6350456621005,0.483078959318259,85.6415928954754,85.6446677662783,-0.00733496107619658
2021-07-23,62,60.6,50,24.6377853881279,0.483384873288196,85.6342537879922,85.6445787191099,-0.0073391074831477
2021-07-24,60,60.54,50,24.6405251141553,0.484287885399636,85.6123888793233,85.6386844191498,-0.0218649086689027
2021-07-25,60,60.48,50,24.6432648401827,0.48519423192563,85.5904850305432,85.6255296899771,-0.0219038487801555
2021-07-26,60,60.48,50,24.6460045662101,0.485202724570814,85.5903967063743,85.6138234599417,-8.83241688427461e-05
2021-07-27,61,60.46,50,24.6487442922374,0.485511251137746,85.5830280611688,85.6021104930804,-0.00736864520550284
2021-07-28,62,60.46,50,24.6514840182648,0.485519747251566,85.5829398664267,85.5918477087673,-8.81947421760287e-05
2021-07-29,62,60.44,50,24.6542237442922,0.485828654321639,85.5755671548953,85.5844833638817,-0.00737271153137442
2021-07-30,62,60.4,50,24.6569634703196,0.486439097593181,85.5608969719336,85.5785657521597,-0.0146701829617371
2021-07-31,58,60.3,50,24.659703196347,0.487959022839401,85.524492623428,85.5653849355705,-0.0364043485055134
2021-08-01,59,60.22,50,24.6624429223744,0.489183469552936,85.4950978409991,85.5477988915365,-0.029394782428966
2021-08-02,61,60.16,50,24.6651826484018,0.490107939279837,85.4729835161958,85.5258076214903,-0.0221143248032405
2021-08-03,62,60.2,50,24.6679223744292,0.489505468909296,85.4875860250681,85.5082113955249,0.0146025088722723
